"message_structure";"version_id";"description";"example_event";"example_msg_type";"action";"section";"anchor";"owl_gen"
"CCI_I22";997;"Collaborative Care Information";;;;"2.4.2";"v2.xml.html#Heading17";0
"CCM_I21";8;"Collaborative Care Message";;;;"11.6.1";"ch11.html#Heading52";0
"CCM_I21";9;"Collaborative Care Message";;;;"11.6.1";"ch11.html#Heading55";0
"CCM_I21";10;"Collaborative Care Message";;;;"11.6.1";"ch11.html#Heading4043";0
"CCM_I21";81;"Collaborative Care Message";;;;"11.5.1";"ch11.html#Heading51";0
"CCM_I21";91;"Collaborative Care Message";;;;"11.6.1";"ch11.html#Heading55";0
"CCM_I21";92;"Collaborative Care Message";;;;"11.6.1";"ch11.html#Heading55";0
"CCQ_I19";8;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading59";0
"CCQ_I19";9;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading62";0
"CCQ_I19";10;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading4050";0
"CCQ_I19";81;"Collaborative Care Referral";;;;"11.6.1";"ch11.html#Heading58";0
"CCQ_I19";91;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading62";0
"CCQ_I19";92;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading62";0
"CCR_I16";8;"Collaborative Care Referral";;;;"11.6.2";"ch11.html#Heading53";0
"CCR_I16";9;"Collaborative Care Referral";;;;"11.6.2";"ch11.html#Heading56";0
"CCR_I16";10;"Collaborative Care Referral";;;;"11.6.2";"ch11.html#Heading4044";0
"CCR_I16";81;"Collaborative Care Referral";;;;"11.5.2";"ch11.html#Heading52";0
"CCR_I16";91;"Collaborative Care Referral";;;;"11.6.2";"ch11.html#Heading56";0
"CCR_I16";92;"Collaborative Care Referral";;;;"11.6.2";"ch11.html#Heading56";0
"CCU_I20";8;"Collaborative Care Referral";;;;"11.6.6";"ch11.html#Heading57";0
"CCU_I20";9;"Collaborative Care Referral";;;;"11.6.6";"ch11.html#Heading60";0
"CCU_I20";10;"Collaborative Care Referral";;;;"11.6.6";"ch11.html#Heading4048";0
"CCU_I20";81;"Collaborative Care Referral";;;;"11.5.6";"ch11.html#Heading56";0
"CCU_I20";91;"Collaborative Care Referral";;;;"11.6.6";"ch11.html#Heading60";0
"CCU_I20";92;"Collaborative Care Referral";;;;"11.6.6";"ch11.html#Heading60";0
"CQU_I19";8;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading59";0
"CQU_I19";9;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading62";0
"CQU_I19";10;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading4050";0
"CQU_I19";81;"Collaborative Care Referral";;;;"11.6.1";"ch11.html#Heading58";0
"CQU_I19";91;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading62";0
"CQU_I19";92;"Collaborative Care Referral";;;;"11.7.1";"ch11.html#Heading62";0
"CRM_C01";3;"Clinical Trial Message";"C01";"CRM";;;;0
"CRM_C01";4;"Clinical Trial Message";"C01";"CRM";;;;0
"CRM_C01";5;"Clinical Trial Message";;;;"7";;0
"CRM_C01";6;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading185";0
"CRM_C01";7;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading193";0
"CRM_C01";8;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading208";0
"CRM_C01";9;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading220";0
"CRM_C01";10;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading3023";0
"CRM_C01";61;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading190";0
"CRM_C01";81;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading209";0
"CRM_C01";91;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading221";0
"CRM_C01";92;"Clinical Trial Message";;;;"7.7.1";"ch07.html#Heading230";0
"CSU_C09";3;"Clinical Trial Message";"C09";"CSU";;;;0
"CSU_C09";4;"Clinical Trial Message";"C09";"CSU";;;;0
"CSU_C09";5;"Clinical Trial Message";;;;"7";;0
"CSU_C09";6;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading186";0
"CSU_C09";7;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading194";0
"CSU_C09";8;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading209";0
"CSU_C09";9;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading221";0
"CSU_C09";10;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading3024";0
"CSU_C09";61;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading191";0
"CSU_C09";81;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading210";0
"CSU_C09";91;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading222";0
"CSU_C09";92;"Clinical Trial Message";;;;"7.7.2";"ch07.html#Heading231";0
"DBC_O41";9;;;;;"4.16.4";"ch04.html#Heading313";0
"DBC_O41";10;;;;;"4.16.4";"ch04.html#Heading1766";0
"DBC_O41";91;;;;;"4.16.4";"ch04.html#Heading325";0
"DBC_O41";92;;;;;"4.16.4";"ch04.html#Heading325";0
"DBC_O42";9;;;;;"4.16.5";"ch04.html#Heading314";0
"DBC_O42";10;;;;;"4.16.5";"ch04.html#Heading1767";0
"DBC_O42";91;;;;;"4.16.5";"ch04.html#Heading326";0
"DBC_O42";92;;;;;"4.16.5";"ch04.html#Heading326";0
"DEL_O46";9;;;;;"4.16.13";"ch04.html#Heading322";0
"DEL_O46";10;;;;;"4.16.13";"ch04.html#Heading1775";0
"DEL_O46";91;;;;;"4.16.13";"ch04.html#Heading334";0
"DEL_O46";92;;;;;"4.16.13";"ch04.html#Heading334";0
"DEO_O45";9;;;;;"4.16.12";"ch04.html#Heading321";0
"DEO_O45";10;;;;;"4.16.12";"ch04.html#Heading1774";0
"DEO_O45";91;;;;;"4.16.12";"ch04.html#Heading333";0
"DEO_O45";92;;;;;"4.16.12";"ch04.html#Heading333";0
"DER_O44";9;;;;;"4.16.11";"ch04.html#Heading320";0
"DER_O44";10;;;;;"4.16.11";"ch04.html#Heading1773";0
"DER_O44";91;;;;;"4.16.11";"ch04.html#Heading332";0
"DER_O44";92;;;;;"4.16.11";"ch04.html#Heading332";0
"DFT_P03";0;;;;;;;0
"DFT_P03";3;;"P03";"DFT";;;;0
"DFT_P03";4;;"P03";"DFT";;;;0
"DFT_P03";5;;;;;"6.4.3";"ch06.htm#Heading8";0
"DFT_P03";6;;;;;"6.4.3";"ch06.html#Heading8";0
"DFT_P03";7;;;;;"6.4.3";"ch06.html#Heading8";0
"DFT_P03";8;"Detail Financial Transaction";;;;"6.4.3";"ch06.html#Heading8";0
"DFT_P03";9;"Detail Financial Transaction";;;;"6.4.3";"ch06.html#Heading8";0
"DFT_P03";10;"Detail Financial Transaction";;;;"6.4.3";"ch06.html#Heading2319";0
"DFT_P03";32;"Detail Financial Transaction";;;;;;0
"DFT_P03";61;"Detail Financial Transaction";;;;"6.4.3";"ch06.html#Heading8";0
"DFT_P03";81;"Detail Financial Transaction";;;;"6.4.3";"ch06.html#Heading8";0
"DFT_P03";91;"Detail Financial Transaction";;;;"6.4.3";"ch06.html#Heading8";0
"DFT_P03";92;"Detail Financial Transaction";;;;"6.4.3";"ch06.html#Heading8";0
"DFT_P11";5;"Detail Financial Transaction - Expanded";;;;"6.4.3";"ch06.htm#Heading8";0
"DFT_P11";6;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading13";0
"DFT_P11";7;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading13";0
"DFT_P11";8;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading13";0
"DFT_P11";9;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading13";0
"DFT_P11";10;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading2324";0
"DFT_P11";61;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading13";0
"DFT_P11";81;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading13";0
"DFT_P11";91;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading13";0
"DFT_P11";92;"Detail Financial Transaction - Expanded";;;;"6.4.8";"ch06.html#Heading13";0
"DOC_T12";3;;"T12";"DOC";;;;0
"DOC_T12";4;;"T12";"DOC";;;;0
"DOC_T12";5;;;;;"9";;0
"DOC_T12";6;;;;;"9.8.1";"ch09.html#Heading69";0
"DOC_T12";7;;;;;"9.8.1";"ch09.html#Heading69";0
"DOC_T12";61;;;;;"9.8.1";"ch09.html#Heading69";0
"DPR_O48";9;;;;;"4.16.15";"ch04.html#Heading324";0
"DPR_O48";10;;;;;"4.16.15";"ch04.html#Heading1777";0
"DPR_O48";91;;;;;"4.16.15";"ch04.html#Heading336";0
"DPR_O48";92;;;;;"4.16.15";"ch04.html#Heading336";0
"DRC_O47";9;;;;;"4.16.14";"ch04.html#Heading323";0
"DRC_O47";10;;;;;"4.16.14";"ch04.html#Heading1776";0
"DRC_O47";91;;;;;"4.16.14";"ch04.html#Heading335";0
"DRC_O47";92;;;;;"4.16.14";"ch04.html#Heading335";0
"DRG_O43";9;;;;;"4.16.10";"ch04.html#Heading319";0
"DRG_O43";10;;;;;"4.16.10";"ch04.html#Heading1772";0
"DRG_O43";91;;;;;"4.16.10";"ch04.html#Heading331";0
"DRG_O43";92;;;;;"4.16.10";"ch04.html#Heading331";0
"DSR_P04";5;;;;;"6";;0
"DSR_Q01";3;;"Q01";"DSR";;;;0
"DSR_Q01";4;;"Q01";"DSR";;;;0
"DSR_Q01";5;;;;;"5";;0
"DSR_Q03";3;;"Q03";"DSR";;;;0
"DSR_Q03";4;;"Q03";"DSR";;;;0
"DSR_Q03";5;;;;;"5";;0
"EAC_U07";5;"Equipment Command Message";;;;"13";;0
"EAC_U07";6;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading81";0
"EAC_U07";7;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading81";0
"EAC_U07";8;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading81";0
"EAC_U07";9;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading81";0
"EAC_U07";10;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading4364";0
"EAC_U07";61;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading81";0
"EAC_U07";81;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading81";0
"EAC_U07";91;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading81";0
"EAC_U07";92;"Equipment Command Message";;;;"13.3.7";"ch13.html#Heading81";0
"EAN_U09";5;"Equipment Status Message";;;;"13";;0
"EAN_U09";6;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading83";0
"EAN_U09";7;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading83";0
"EAN_U09";8;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading83";0
"EAN_U09";9;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading83";0
"EAN_U09";10;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading4366";0
"EAN_U09";61;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading83";0
"EAN_U09";81;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading83";0
"EAN_U09";91;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading83";0
"EAN_U09";92;"Equipment Status Message";;;;"13.3.9";"ch13.html#Heading83";0
"EAR_U08";5;"Equipment Command Message";;;;"13";;0
"EAR_U08";6;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading82";0
"EAR_U08";7;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading82";0
"EAR_U08";8;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading82";0
"EAR_U08";9;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading82";0
"EAR_U08";10;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading4365";0
"EAR_U08";61;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading82";0
"EAR_U08";81;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading82";0
"EAR_U08";91;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading82";0
"EAR_U08";92;"Equipment Command Message";;;;"13.3.8";"ch13.html#Heading82";0
"EDR_Q01";3;;"Q01";"EDR";;;;0
"EDR_Q01";4;;"Q01";"EDR";;;;0
"EDR_R07";4;;"R07";"EDR";;;;0
"EDR_R07";5;;;;;"5";;0
"EHC_E01";7;"Submit HealthCare Services Invoice";;;;"16.3.1";"ch16.html#Heading6";0
"EHC_E01";8;"Submit HealthCare Services Invoice";;;;"16.3.1";"ch16.html#Heading6";0
"EHC_E01";9;"Submit HealthCare Services Invoice";;;;"16.3.1";"ch16.html#Heading6";0
"EHC_E01";10;"Submit HealthCare Services Invoice";;;;"16.3.1";"ch16.html#Heading4752";0
"EHC_E01";81;"Submit HealthCare Services Invoice";;;;"16.3.1";"ch16.html#Heading6";0
"EHC_E01";91;"Submit HealthCare Services Invoice";;;;"16.3.1";"ch16.html#Heading6";0
"EHC_E01";92;"Submit HealthCare Services Invoice";;;;"16.3.1";"ch16.html#Heading6";0
"EHC_E02";7;"Cancel HealthCare Services Invoice";;;;"16.3.2";"ch16.html#Heading7";0
"EHC_E02";8;"Cancel HealthCare Services Invoice";;;;"16.3.2";"ch16.html#Heading7";0
"EHC_E02";9;"Cancel HealthCare Services Invoice";;;;"16.3.2";"ch16.html#Heading7";0
"EHC_E02";10;"Cancel HealthCare Services Invoice";;;;"16.3.2";"ch16.html#Heading4753";0
"EHC_E02";81;"Cancel HealthCare Services Invoice";;;;"16.3.2";"ch16.html#Heading7";0
"EHC_E02";91;"Cancel HealthCare Services Invoice";;;;"16.3.2";"ch16.html#Heading7";0
"EHC_E02";92;"Cancel HealthCare Services Invoice";;;;"16.3.2";"ch16.html#Heading7";0
"EHC_E04";7;"Re-Assess HealthCare Services Invoice Request";;;;"16.3.5";"ch16.html#Heading10";0
"EHC_E04";8;"Re-Assess HealthCare Services Invoice Request";;;;"16.3.5";"ch16.html#Heading10";0
"EHC_E04";9;"Re-Assess HealthCare Services Invoice Request";;;;"16.3.5";"ch16.html#Heading10";0
"EHC_E04";10;"Re-Assess HealthCare Services Invoice Request";;;;"16.3.5";"ch16.html#Heading4756";0
"EHC_E04";81;"Re-Assess HealthCare Services Invoice Request";;;;"16.3.5";"ch16.html#Heading10";0
"EHC_E04";91;"Re-Assess HealthCare Services Invoice Request";;;;"16.3.5";"ch16.html#Heading10";0
"EHC_E04";92;"Re-Assess HealthCare Services Invoice Request";;;;"16.3.5";"ch16.html#Heading10";0
"EHC_E10";7;"Edit/Adjudication Results";;;;"16.3.6";"ch16.html#Heading11";0
"EHC_E10";8;"Edit/Adjudication Results";;;;"16.3.6";"ch16.html#Heading11";0
"EHC_E10";9;"Edit/Adjudication Results";;;;"16.3.6";"ch16.html#Heading11";0
"EHC_E10";10;"Edit/Adjudication Results";;;;"16.3.6";"ch16.html#Heading4757";0
"EHC_E10";81;"Edit/Adjudication Results";;;;"16.3.6";"ch16.html#Heading11";0
"EHC_E10";91;"Edit/Adjudication Results";;;;"16.3.6";"ch16.html#Heading11";0
"EHC_E10";92;"Edit/Adjudication Results";;;;"16.3.6";"ch16.html#Heading11";0
"EHC_E12";7;"Request Additional Information";;;;"16.3.7";"ch16.html#Heading12";0
"EHC_E12";8;"Request Additional Information";;;;"16.3.7";"ch16.html#Heading12";0
"EHC_E12";9;"Request Additional Information";;;;"16.3.7";"ch16.html#Heading12";0
"EHC_E12";10;"Request Additional Information";;;;"16.3.7";"ch16.html#Heading4758";0
"EHC_E12";81;"Request Additional Information";;;;"16.3.7";"ch16.html#Heading12";0
"EHC_E12";91;"Request Additional Information";;;;"16.3.7";"ch16.html#Heading12";0
"EHC_E12";92;"Request Additional Information";;;;"16.3.7";"ch16.html#Heading12";0
"EHC_E13";7;"Additional Information Response";;;;"16.3.8";"ch16.html#Heading13";0
"EHC_E13";8;"Additional Information Response";;;;"16.3.8";"ch16.html#Heading13";0
"EHC_E13";9;"Additional Information Response";;;;"16.3.8";"ch16.html#Heading13";0
"EHC_E13";10;"Additional Information Response";;;;"16.3.8";"ch16.html#Heading4759";0
"EHC_E13";81;"Additional Information Response";;;;"16.3.8";"ch16.html#Heading13";0
"EHC_E13";91;"Additional Information Response";;;;"16.3.8";"ch16.html#Heading13";0
"EHC_E13";92;"Additional Information Response";;;;"16.3.8";"ch16.html#Heading13";0
"EHC_E15";7;"Payment/Remittance Advice";;;;"16.3.9";"ch16.html#Heading14";0
"EHC_E15";8;"Payment/Remittance Advice";;;;"16.3.9";"ch16.html#Heading14";0
"EHC_E15";9;"Payment/Remittance Advice";;;;"16.3.9";"ch16.html#Heading14";0
"EHC_E15";10;"Payment/Remittance Advice";;;;"16.3.9";"ch16.html#Heading4760";0
"EHC_E15";81;"Payment/Remittance Advice";;;;"16.3.9";"ch16.html#Heading14";0
